tmdb_id,show_title,season_number,season_name,air_date,episode_count,overview,poster_url,season_id
313100,Hello Bachhon,1,Season 1,2026-03-06,5,,https://image.tmdb.org/t/p/w500/1PDpQ66UL5xDGVyMDf0ECra5Ohh.jpg,498551
240518,Chamak,1,Season 1,2023-12-07,6,,https://image.tmdb.org/t/p/w500/7ACotqXx7MFUspxeRRFNPVCV521.jpg,367676
240518,Chamak,2,Season 2,2025-04-04,6,,,400264
283538,Tenali Rama,1,Season 1,2024-12-16,187,"After two years, a visit from Goddess Kali, warning him of the danger that looms over Vijayanagar, spurs Tenali Rama into returning to the kingdom. However, in a land where the king and the people have lost their trust in him, Tenali's journey is filled with obstacles. Can he rise to the challenge a",https://image.tmdb.org/t/p/w500/6Yj9vTnIQaD2acCVlkw2BMPHGQG.jpg,440790
232136,Abar Proloy,1,Season 1,2023-08-11,10,Crime Branch officer Animesh Datta is on a mission to catch the mastermind of a girl child trafficking racket in the Sunderbans. Will he be able to track down the culprit before more young girls disappear?,https://image.tmdb.org/t/p/w500/reU027VWXdddXyWwwjytT8mTleV.jpg,351766
232136,Abar Proloy,2,Season 2,2026-02-27,8,"Supercop Animesh Dutta strikes back as Bengal is shaken by a wave of daring gold heists marked by the chilling signature “Netaji ka salaam.” What appears to be a hunt for criminals soon unravels a vast, hydra-like network linking organized crime, prisons, and politics.",https://image.tmdb.org/t/p/w500/H18DIbeE41w87fid2Gp0Wqdog.jpg,502288
249753,The Tribe,1,Season 1,2024-10-04,9,"The Tribe is a reality series about 5 young Indian influencers who want to make it big in Los Angeles – the global capital of entertainment. Funding & fueling this audacious vision is a young Indian entrepreneur, Hardik Zaveri who knows no limits – to his vision and how much he is willing to spend o",https://image.tmdb.org/t/p/w500/xlMrumVkeJqHDEGJMG2z2i0pQrp.jpg,384772
249756,Ziddi Girls,1,Season 1,2025-02-27,8,,https://image.tmdb.org/t/p/w500/fBsiBCHpBsniHfLBVdUlAOASams.jpg,384775
235356,Kaala Paani,1,Season 1,2023-10-18,7,"When a mysterious illness descends upon the Andaman and Nicobar Islands, a desperate fight for survival collides with a race to find a cure.",https://image.tmdb.org/t/p/w500/aDOwHpqgwUum7vkNPNzuRt6Xah4.jpg,357674
281761,Mannat: Har Khushi Paane Ki,1,Season 1,2025-01-06,347,,https://image.tmdb.org/t/p/w500/begphNO46DWuAQDvUwMyfHsxnDB.jpg,437485
316272,Sankalp,1,Season 1,2026-03-11,10,,,504512
111805,Apna Time Bhi Aayega,1,Season 1,2020-10-20,297,,,166276
203832,Taaza Khabar,0,Specials,2023-01-10,2,"Season 0 of Taaza Khabar premiered on  January  5, 2023.",https://image.tmdb.org/t/p/w500/4oPKn5RomPeLkabSVHoHR7qAPNF.jpg,454552
203832,Taaza Khabar,1,Season 1,2023-01-05,6,,https://image.tmdb.org/t/p/w500/lIEsG2VmWc2HgMODooRaymdeXrx.jpg,297029
203832,Taaza Khabar,2,Season 2,2024-09-27,6,,https://image.tmdb.org/t/p/w500/zRrF8oj20lhd2jU0Yj9dg4sP5z5.jpg,387254
220977,Taj: Divided by Blood,1,Taj: Divided By Blood,2023-03-03,10,"In his quest to find a worthy successor for his grand legacy, Emperor Akbar sparks a war among his sons. What follows is a terrifying battle for power, filled with politics, betrayals, and bloodshed.",https://image.tmdb.org/t/p/w500/zcupWb5RUueIgKjY8E2iNGpf1l0.jpg,329896
220977,Taj: Divided by Blood,2,Taj: Reign Of Revenge,2023-05-11,8,"Fifteen years after his exile, Salim sets on a destructive path to avenge his lost love. While Daniyal impatiently awaits his succession, Akbar's search for a worthy heir leads to more treachery and wars.",https://image.tmdb.org/t/p/w500/bvUgnGRphMA8gAh7tYxMblFzP3A.jpg,337925
204923,Aalta Phoring,1,Season 1,2022-01-10,425,,,298847
261373,Aapka Apna Zakir,1,Season 1,2024-08-10,12,,,406084
105218,Rasbhari,1,Season 1,2020-06-25,8,,https://image.tmdb.org/t/p/w500/vYsCAS79oDhGMKUgTx0yqNVBwPO.jpg,154505
304167,Bade Achhe Lagte Hain 4,1,Season 1,2025-06-16,70,,https://image.tmdb.org/t/p/w500/b9IuJDF5JGWLdwMd3AxlvV4DiOc.jpg,482104
249749,Khauf,1,Season 1,2025-04-18,8,"Madhu moves into a hostel in Delhi to start afresh, but her room hides a sinister presence that begins to get stronger each day, alarming the other women on her floor. They know what the room hides and desperately want her gone before it is too late for them all.",https://image.tmdb.org/t/p/w500/puwKd7W9iCocEy11Z1XJ5sN2RaG.jpg,384762
255470,Yakshini,1,Season 1,2024-06-14,6,"During a quest to undo a curse, Maya, a supernatural being comes across a hopeless romantic Krishna and forms an unlikely relationship.",https://image.tmdb.org/t/p/w500/pe3mkoBzaeIO9XGV3oiS7XY0a38.jpg,395803
232442,Aakhri Sach,1,Season 1,2023-08-25,6,,https://image.tmdb.org/t/p/w500/wuaP3whkA234QZ18JFhA9Q5oWgi.jpg,352318
204074,Tanaav,1,Season 1,2022-11-10,12,,https://image.tmdb.org/t/p/w500/mrxY1QDR5bDc9u3iwZyj7cms35T.jpg,297425
